date,equity,cash,positions_count,cummax,drawdown,daily_return
2025-04-14,969828.5715899997,589067.9715899997,1,1077852.34252,-0.10022130738004664,0.001065010234715169
2025-04-15,963128.9715899997,589067.9715899997,1,1077852.34252,-0.10643700106619333,-0.0069080249811739325
2025-04-16,961267.9715899997,589067.9715899997,1,1077852.34252,-0.10816358264567852,-0.0019322438166591294
2025-04-17,961640.1715899997,589067.9715899997,1,1077852.34252,-0.10781826632978153,0.0003871969221904692
2025-04-18,959406.9715899997,589067.9715899997,1,1077852.34252,-0.10989016422516372,-0.0023222823525638203
2025-04-21,965734.3715899998,589067.9715899997,1,1077852.34252,-0.10401978685491403,0.006595115719780331
2025-04-22,963501.1715899997,589067.9715899997,1,1077852.34252,-0.10609168475029633,-0.0023124371107587915
2025-04-23,963128.9715899997,589067.9715899997,1,1077852.34252,-0.10643700106619333,-0.00038629947837609535
2025-04-24,959406.9715899997,589067.9715899997,1,1077852.34252,-0.10989016422516372,-0.0038644876333181477
2025-04-25,960523.5715899997,589067.9715899997,1,1077852.34252,-0.10885421527747262,0.0011638439505494702
2025-04-28,957153.7856299998,314.3856299998006,2,1077852.34252,-0.11198060451193992,-0.003508280337588987
2025-04-29,956091.8856299999,314.3856299998006,2,1077852.34252,-0.11296580439332368,-0.0011094350938610775
2025-04-30,958242.1856299998,314.3856299998006,2,1077852.34252,-0.11097081870263754,0.0022490516155599938
2025-05-06,969810.2856299998,314.3856299998006,2,1077852.34252,-0.10023827256097034,0.012072209065179473
2025-05-07,987222.4856299998,314.3856299998006,2,1077852.34252,-0.08408374070803534,0.017954233171169953
2025-05-08,998527.7856299998,314.3856299998006,2,1077852.34252,-0.07359501274965057,0.01145162328103333
2025-05-09,988464.2856299998,314.3856299998006,2,1077852.34252,-0.082931634848065,-0.010078337473253818
2025-05-12,1013528.5856299999,314.3856299998006,2,1077852.34252,-0.05967770756021391,0.02535680890486125
2025-05-13,1001852.7856299998,314.3856299998006,2,1077852.34252,-0.07051017462402548,-0.011519951351685376
2025-05-14,1007356.2856299998,314.3856299998006,2,1077852.34252,-0.06540418766932544,0.005493322051841387
2025-05-15,994754.4856299998,314.3856299998006,2,1077852.34252,-0.07709577055398778,-0.012509774525424122
2025-05-16,991789.2856299998,314.3856299998006,2,1077852.34252,-0.07984679672243992,-0.0029808360181678983
2025-05-19,994228.8856299997,314.3856299998006,2,1077852.34252,-0.07758340692055285,0.002459796688013327
2025-05-20,996518.4856299998,314.3856299998006,2,1077852.34252,-0.075459182748393,0.0023028902429738096
2025-05-21,999317.8856299999,314.3856299998006,2,1077852.34252,-0.07286198098933278,0.002809180201238659
2025-05-22,996781.2856299998,314.3856299998006,2,1077852.34252,-0.07521536456511048,-0.0025383314323459416
2025-05-23,988287.7856299998,314.3856299998006,2,1077852.34252,-0.08309538640571097,-0.00852092642834057
2025-05-26,988824.0856299999,314.3856299998006,2,1077852.34252,-0.08259782289089206,0.0005426556998862075
2025-05-27,984149.5856299999,314.3856299998006,2,1077852.34252,-0.08693468779863174,-0.0047273322605423385
2025-05-28,980192.9856299998,314.3856299998006,2,1077852.34252,-0.09060550600249595,-0.004020323798101577
2025-05-29,991649.9856299998,314.3856299998006,2,1077852.34252,-0.07997603520391353,0.011688514576174258
2025-05-30,990960.2856299998,314.3856299998006,2,1077852.34252,-0.08061591876940027,-0.0006955074975993902
2025-06-03,990656.8856299999,314.3856299998006,2,1077852.34252,-0.08089740444979558,-0.0003061676682704073
2025-06-04,992863.5856299999,314.3856299998006,2,1077852.34252,-0.07885009248233191,0.0022275118984274034
2025-06-05,996241.5856299999,314.3856299998006,2,1077852.34252,-0.0757160825008698,0.003402280080456954
2025-06-06,994683.9856299998,314.3856299998006,2,1077852.34252,-0.07716117839995969,-0.0015634761913849715
2025-06-09,1001632.2856299998,314.3856299998006,2,1077852.34252,-0.07071474809972483,0.00698543467109225
2025-06-10,991815.7856299998,314.3856299998006,2,1077852.34252,-0.07982221079452141,-0.009800502780145215
2025-06-11,998158.9856299998,314.3856299998006,2,1077852.34252,-0.07393717464460715,0.006395542490756689
2025-06-12,995484.7856299998,314.3856299998006,2,1077852.34252,-0.07641821949138805,-0.0026791323211022844
2025-06-13,997123.5856299999,314.3856299998006,2,1077852.34252,-0.0748977885980724,0.0016462330953284088
2025-06-16,998640.5856299999,314.3856299998006,2,1077852.34252,-0.07349036019609548,0.001521376108099437
2025-06-17,998116.6856299997,314.3856299998006,2,1077852.34252,-0.07397641935219035,-0.0005246131666776233
2025-06-18,987827.5856299998,314.3856299998006,2,1077852.34252,-0.08352234655771484,-0.01030851417287515
2025-06-19,976797.4856299998,314.3856299998006,2,1077852.34252,-0.09375575197409293,-0.01116601739054024
2025-06-20,973461.7856299998,314.3856299998006,2,1077852.34252,-0.09685051724797186,-0.003414935080272574
2025-06-23,980993.9415199998,589811.7415199998,1,1077852.34252,-0.08986240246372423,0.007737495196203703
2025-06-24,983227.1415199998,589811.7415199998,1,1077852.34252,-0.08779050456834193,0.002276466658438059
2025-06-25,995881.9415199999,589811.7415199998,1,1077852.34252,-0.07604974982784256,0.012870678061670082
2025-06-26,995881.9415199999,589811.7415199998,1,1077852.34252,-0.07604974982784256,0.0
2025-06-27,998859.5415199997,589811.7415199998,1,1077852.34252,-0.07328721930066638,0.0029899126350811933
2025-06-30,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.017330377155588828
2025-07-01,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-02,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-03,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-04,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-07,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-08,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-09,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-10,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-11,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-14,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-15,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-16,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-17,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-18,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-21,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-22,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-23,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-24,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-25,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-28,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-29,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-30,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-07-31,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-01,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-04,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-05,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-06,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-07,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-08,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-11,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-12,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-13,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-14,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-15,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-18,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-19,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-20,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-21,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-22,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-25,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-26,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-27,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-28,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-08-29,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-01,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-02,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-03,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-04,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-05,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-08,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-09,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-10,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-11,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
2025-09-12,1016170.1540999998,1016170.1540999998,0,1077852.34252,-0.05722693729624251,0.0
