date,value,cash,return,cum_return,rolling_max,drawdown
2024-05-10,1146452.80979716,50223.80979716015,-0.006414157441054891,0.1464528097971587,1179568.90979716,-0.028074748092245447
2024-05-13,1142650.30979716,50223.80979716015,-0.0033167523054636883,0.14265030979715854,1179568.90979716,-0.031298383412248824
2024-05-14,1144300.5097971603,50223.80979716015,0.0014441863673000377,0.1443005097971588,1179568.90979716,-0.029899397743591318
2024-05-15,1131128.6097971601,50223.80979716015,-0.01151087488577196,0.13112860979715868,1179568.90979716,-0.041066104402776825
2024-05-16,1130801.6097971601,50223.80979716015,-0.000289091794839047,0.1308016097971587,1179568.90979716,-0.04134332432378698
2024-05-17,1136669.70979716,50223.80979716015,0.005189327596599735,0.13666970979715853,1179568.90979716,-0.0363685407810358
2024-05-20,1137912.5097971603,50223.80979716015,0.001093369506804276,0.13791250979715874,1179568.90979716,-0.03531493552772848
2024-05-21,1130280.40979716,50223.80979716015,-0.006707106156483622,0.13028040979715838,1179568.90979716,-0.0417851806627183
2024-05-22,1132962.30979716,50223.80979716015,0.002372774027359581,0.1329623097971584,1179568.90979716,-0.03951155342676367
2024-05-23,1117775.70979716,50223.80979716015,-0.013404329401495274,0.11777570979715835,1179568.90979716,-0.05238625695096184
2024-05-24,1102023.9097971602,50223.80979716015,-0.01409209366596298,0.10202390979715847,1179568.90979716,-0.06574011857716265
2024-05-27,1112653.70979716,50223.80979716015,0.009645707235114598,0.11265370979715827,1179568.90979716,-0.05672852127944502
2024-05-28,1105393.30979716,50223.80979716015,-0.0065253006717818085,0.10539330979715844,1179568.90979716,-0.06288365129321286
2024-05-29,1105508.80979716,50223.80979716015,0.00010448769589643803,0.10550880979715838,1179568.90979716,-0.06278573416514964
2024-05-30,1106255.30979716,50223.80979716015,0.0006752546821737759,0.10625530979715836,1179568.90979716,-0.06215287584394451
2024-05-31,1105095.60979716,50223.80979716015,-0.0010483113524787369,0.10509560979715804,1179568.90979716,-0.06313603163108679
2024-06-03,1106250.1097971601,50223.80979716015,0.0010447059872151776,0.10625010979715843,1179568.90979716,-0.06215728423412567
2024-06-04,1117892.30979716,50223.80979716015,0.010524021554343399,0.11789230979715848,1179568.90979716,-0.05228740727882175
2024-06-05,1115037.00979716,50223.80979716015,-0.0025541816282089735,0.11503700979715847,1179568.90979716,-0.054708037371972516
2024-06-06,1107999.7097971602,50223.80979716015,-0.0063112703328833675,0.10799970979715878,1179568.90979716,-0.060674030491619894
2024-06-07,1102151.1097971601,50223.80979716015,-0.005278521238124445,0.1021511097971588,1179568.90979716,-0.06563228257119176
2024-06-11,1109038.40979716,50223.80979716015,0.006248961634006234,0.10903840979715862,1179568.90979716,-0.059793454552925195
2024-06-12,1110122.9097971602,50223.80979716015,0.0009778741569452798,0.110122909797159,1179568.90979716,-0.05887405086994178
2024-06-13,1106439.80979716,50223.80979716015,-0.0033177407361794087,0.10643980979715884,1179568.90979716,-0.06199646276924612
2024-06-14,1108632.30979716,50223.80979716015,0.001981580905338065,0.10863230979715865,1179568.90979716,-0.060137732870730036
2024-06-17,1109503.9097971602,50223.80979716015,0.0007861939367070914,0.10950390979715885,1179568.90979716,-0.05939881885497324
2024-06-18,1109251.50979716,50223.80979716015,-0.00022748905864267144,0.1092515097971587,1179568.90979716,-0.05961279533223012
2024-06-19,1101194.30979716,50223.80979716015,-0.00726363672155228,0.10119430979715882,1179568.90979716,-0.06644342636453282
2024-06-20,1092232.30979716,50223.80979716015,-0.008138436532287185,0.0922323097971589,1179568.90979716,-0.07404111728836459
2024-06-21,1092611.7097971602,50223.80979716015,0.0003473620003702216,0.09261170979715905,1179568.90979716,-0.07371947435860528
2024-06-24,1075762.30979716,50223.80979716015,-0.015421214919184911,0.07576230979715892,1179568.90979716,-0.08800384541997683
2024-06-25,1059962.6097971601,50223.80979716015,-0.014686980438066377,0.05996260979715884,1179568.90979716,-0.10139831510188536
2024-06-26,1076410.0097971603,50223.80979716015,0.015516962436201043,0.07641000979715895,1179568.90979716,-0.08745474651221437
2024-06-27,1062009.9097971602,50223.80979716015,-0.013377894918232602,0.062009909797158924,1179568.90979716,-0.09966268102150586
2024-06-28,1060148.30979716,50223.80979716015,-0.001752902663926803,0.060148309797158905,1179568.90979716,-0.10124088470637596
2024-07-01,1063061.30979716,50223.80979716015,0.002747728759344481,0.06306130979715907,1179568.90979716,-0.09877133843756075
2024-07-02,1053043.4097971602,50223.80979716015,-0.009423633338618398,0.05304340979715927,1179568.90979716,-0.10726418689837904
2024-07-03,1050868.6097971601,50223.80979716015,-0.0020652519922411683,0.05086860979715935,1179568.90979716,-0.10910791131493222
2024-07-04,1039463.3097971601,50223.80979716015,-0.010853212184348648,0.039463309797159285,1179568.90979716,-0.1187769521867888
2024-07-05,1047537.3097971601,50223.80979716015,0.007767469927895343,0.0475373097971592,1179568.90979716,-0.1119320786631314
2024-07-08,1033729.7097971602,50223.80979716015,-0.013181010233109025,0.03372970979715939,1179568.90979716,-0.12363771102196852
2024-07-09,1051580.80979716,50223.80979716015,0.01726863398702405,0.051580809797159066,1179568.90979716,-0.1085041314135762
2024-07-10,1051415.5097971603,50223.80979716015,-0.00015719191379282016,0.05141550979715914,1179568.90979716,-0.1086442673552977
2024-07-11,1069021.4097971602,50223.80979716015,0.016744949866106085,0.06902140979715887,1179568.90979716,-0.09371856029929582
2024-07-12,1068960.5097971603,50223.80979716015,-5.6967989080281e-05,0.06896050979715906,1179568.90979716,-0.09377018933045635
2024-07-15,1063107.00979716,50223.80979716015,-0.0054758804898330515,0.06310700979715889,1179568.90979716,-0.09873259547000678
2024-07-16,1073767.1097971601,50223.80979716015,0.010027306660346458,0.07376710979715884,1179568.90979716,-0.08969531082181
2024-07-17,1074714.50979716,50223.80979716015,0.0008823142293665764,0.07471450979715866,1179568.90979716,-0.0888921360414889
2024-07-18,1080062.1097971601,50223.80979716015,0.004975833071249269,0.08006210979715878,1179568.90979716,-0.08435861540052893
2024-07-19,1088794.1097971601,50223.80979716015,0.008084720240431276,0.08879410979715874,1179568.90979716,-0.07695591096548107
2024-07-22,1088343.30979716,50223.80979716015,-0.0004140360385344044,0.08834330979715865,1179568.90979716,-0.07733808448349755
2024-07-23,1057817.50979716,50223.80979716015,-0.02804795116137504,0.05781750979715872,1179568.90979716,-0.10321686082836519
2024-07-24,1046199.4097971602,50223.80979716015,-0.010983085354890454,0.04619940979715875,1179568.90979716,-0.11306630659071384
2024-07-25,1045302.00979716,50223.80979716015,-0.0008577714645949808,0.04530200979715859,1179568.90979716,-0.11382709300390818
2024-07-26,1051468.80979716,50223.80979716015,0.005899539025278067,0.05146880979715851,1179568.90979716,-0.10859908135594054
2024-07-29,1039984.8097971601,50223.80979716015,-0.010921864626888378,0.03998480979715846,1179568.90979716,-0.11833484151765487
2024-07-30,1037136.50979716,50223.80979716015,-0.002738790002668967,0.037136509797158324,1179568.90979716,-0.12074953723940787
2024-07-31,1074416.4097971602,50223.80979716015,0.03594502714718928,0.07441640979715824,1179568.90979716,-0.08914485548629958
2024-08-01,1068063.9097971602,50223.80979716015,-0.00591251207825394,0.06806390979715826,1179568.90979716,-0.09453029752977661
2024-08-02,1056845.80979716,50223.80979716015,-0.0105032104325391,0.05684580979715825,1179568.90979716,-0.10404063635510999
2024-08-05,1038135.9097971602,50223.80979716015,-0.01770352858151647,0.03813590979715831,1179568.90979716,-0.11990227855727457
2024-08-06,1046992.8097971601,50223.80979716015,0.008531541888123773,0.04699280979715814,1179568.90979716,-0.11239368798114373
2024-08-07,1042124.8097971601,50223.80979716015,-0.004649506619766708,0.04212480979715805,1179568.90979716,-0.11652061940462208
